uri,ref_id,level,title,instances
/repositories/4/resources/2044,,collection,Faculty and Professional Staff files,""
/repositories/4/archival_objects/683464,AC107_c001,series,Digital Files Series,""
/repositories/4/archival_objects/683465,AC107_c002,file,"Brown, Joseph, d. 1985",""
/repositories/4/archival_objects/683474,AC107_c008,file,Photographs,""
/repositories/4/archival_objects/683466,AC107_c011,file,"Cantril, Hadley, d. 1969",""
/repositories/4/archival_objects/683467,AC107_c016,file,"Fuller, Richard Buckminster",""
/repositories/4/archival_objects/683468,AC107_c018,file,"Guyot, Arnold, d. 1884",""
/repositories/4/archival_objects/683484,AC107_c023,file,Published Materials,""
/repositories/4/archival_objects/683485,AC107_c024,file,Photographs,""
/repositories/4/resources/2044,,collection,Faculty and Professional Staff files,""
/repositories/4/archival_objects/683464,AC107_c001,series,Digital Files Series,""
/repositories/4/archival_objects/683465,AC107_c002,file,"Brown, Joseph, d. 1985",""
/repositories/4/archival_objects/683474,AC107_c008,file,Photographs,""
/repositories/4/archival_objects/683466,AC107_c011,file,"Cantril, Hadley, d. 1969",""
/repositories/4/archival_objects/683467,AC107_c016,file,"Fuller, Richard Buckminster",""
/repositories/4/archival_objects/683468,AC107_c018,file,"Guyot, Arnold, d. 1884",""
/repositories/4/archival_objects/683484,AC107_c023,file,Published Materials,""
/repositories/4/archival_objects/683485,AC107_c024,file,Photographs,""
/repositories/4/resources/2140,,collection,"Faculty and Professional Staff files, Subgroup 1: A",""
/repositories/4/archival_objects/685553,AC107.01_c624,series,Series 1: Aeronautical Engineering,""
/repositories/4/archival_objects/685563,AC107.01_c1,file,"Acker, Claude",/repositories/4/top_containers/63552: box Primary 2 ; 
/repositories/4/archival_objects/685564,AC107.01_c2,file,"Allegre, Jean Louis",/repositories/4/top_containers/63553: box Primary 6 ; 
/repositories/4/archival_objects/685565,AC107.01_c3,file,"Allen, John S., Jr.",/repositories/4/top_containers/63553: box Primary 6 ; 
/repositories/4/archival_objects/685566,AC107.01_c4,file,"Allen, Rita Albert",/repositories/4/top_containers/63553: box Primary 6 ; 
/repositories/4/archival_objects/685567,AC107.01_c5,file,"Allen, William D.",/repositories/4/top_containers/63553: box Primary 6 ; 
/repositories/4/archival_objects/685568,AC107.01_c6,file,"Anderson, Adrian",/repositories/4/top_containers/63554: box Primary 9 ; 
