uri,ref_id,level,title,instances
/repositories/4/resources/2152,,collection,"Faculty and Professional Staff files, Subgroup 3: C",""
/repositories/4/archival_objects/715164,AC107.03_c1,series,Series 15: Center for Human Values,""
/repositories/4/archival_objects/715180,AC107.03_c2,file,"Bird, Colin",/repositories/4/top_containers/63569: box 2002 764 ; 
/repositories/4/archival_objects/715181,AC107.03_c3,file,"Blake, Michael I.",/repositories/4/top_containers/63569: box 2002 764 ; 
/repositories/4/archival_objects/715182,AC107.03_c4,file,"Butler, Judith P.",/repositories/4/top_containers/63855: box 2002 765 ; 
/repositories/4/archival_objects/715183,AC107.03_c5,file,"Chen, Cheryl A.",/repositories/4/top_containers/63855: box 2002 765 ; 
/repositories/4/archival_objects/715184,AC107.03_c6,file,"Gubar, Susan",/repositories/4/top_containers/63571: box 2002 768 ; 
/repositories/4/archival_objects/715185,AC107.03_c7,file,"Moon, James Donald",/repositories/4/top_containers/63705: box 2002 770 ; 
/repositories/4/archival_objects/715186,AC107.03_c8,file,"Orleans, Jeffrey Howard",/repositories/4/top_containers/63757: box 2002 771 ; 
/repositories/4/archival_objects/715187,AC107.03_c9,file,"Skladany, Jr., Martin",/repositories/4/top_containers/63706: box 2002 773 ; 
/repositories/4/archival_objects/715188,AC107.03_c10,file,"Taylor, Jacqueline A.",/repositories/4/top_containers/63706: box 2002 773 ; 
/repositories/4/archival_objects/715189,AC107.03_c11,file,"Van Steen, Gonda Aline Hector",/repositories/4/top_containers/63856: box 2002 774 ; 
/repositories/4/archival_objects/715190,AC107.03_c12,file,"Yanay, Niza",/repositories/4/top_containers/63856: box 2002 774 ; 
/repositories/4/archival_objects/715191,AC107.03_c13,file,"Heim, Maria",/repositories/4/top_containers/67044: box 2003 780 ; 
/repositories/4/archival_objects/715192,AC107.03_c14,file,"Hitchner, Robert Bruce",/repositories/4/top_containers/67044: box 2003 780 ; 
/repositories/4/archival_objects/715193,AC107.03_c15,file,"Ivison, Duncan M.",/repositories/4/top_containers/67044: box 2003 780 ; 
/repositories/4/archival_objects/715194,AC107.03_c16,file,"Kelsay, John E.",/repositories/4/top_containers/63689: box 2003 781 ; 
/repositories/4/archival_objects/715195,AC107.03_c17,file,"Kochin, Michael S.",/repositories/4/top_containers/63689: box 2003 781 ; 
/repositories/4/archival_objects/715196,AC107.03_c18,file,"Saxonhouse, Arlene W.",/repositories/4/top_containers/63616: box 2003 784 ; 
/repositories/4/archival_objects/715197,AC107.03_c19,file,"Scheuerman, William E.",/repositories/4/top_containers/63762: box 2003 785 ; 
/repositories/4/archival_objects/715198,AC107.03_c20,file,"Schneewind, Jerome Boges",/repositories/4/top_containers/63762: box 2003 785 ; 
/repositories/4/archival_objects/715199,AC107.03_c21,file,"Strong, Tracey B.",/repositories/4/top_containers/63762: box 2003 785 ; 
/repositories/4/archival_objects/715200,AC107.03_c22,file,"Wall, Steven Phelps",/repositories/4/top_containers/63763: box 2003 787 ; 
/repositories/4/archival_objects/715201,AC107.03_c23,file,"Weiss, Roslyn E.",/repositories/4/top_containers/63763: box 2003 787 ; 
/repositories/4/archival_objects/715202,AC107.03_c24,file,"Carone, Gabriela",/repositories/4/top_containers/63692: box 2004 789 ; 
/repositories/4/archival_objects/715203,AC107.03_c25,file,"Connolly, Joy",/repositories/4/top_containers/63950: box 2004 790 ; 
/repositories/4/archival_objects/715204,AC107.03_c26,file,"Crary, Alice",/repositories/4/top_containers/63950: box 2004 790 ; 
/repositories/4/archival_objects/715205,AC107.03_c27,file,"Derstine, Janelle",/repositories/4/top_containers/63950: box 2004 790 ; 
/repositories/4/archival_objects/715206,AC107.03_c28,file,"Jaworska, Agnieszka",/repositories/4/top_containers/63618: box 2004 792 ; 
/repositories/4/archival_objects/715207,AC107.03_c29,file,"Liao, S. Matthew",/repositories/4/top_containers/63858: box 2004 794 ; 
/repositories/4/archival_objects/715208,AC107.03_c30,file,"Tatum, James",/repositories/4/top_containers/63913: box 2004 798 ; 
/repositories/4/archival_objects/715209,AC107.03_c31,file,"Walker, Margaret",/repositories/4/top_containers/63766: box 2004 799 ; 
/repositories/4/archival_objects/715210,AC107.03_c32,file,"D'Arms, Justin",/repositories/4/top_containers/63572: box 2005 804 ; 
/repositories/4/archival_objects/715211,AC107.03_c33,file,"Gardiner, Stephen",/repositories/4/top_containers/63861: box 2005 805 ; 
/repositories/4/archival_objects/715212,AC107.03_c34,file,"Jacobson, Daniel",/repositories/4/top_containers/63620: box 2005 807 ; 
/repositories/4/archival_objects/715213,AC107.03_c35,file,"Jamieson, Dale",/repositories/4/top_containers/63620: box 2005 807 ; 
/repositories/4/archival_objects/715214,AC107.03_c36,file,"Lape, Susan",/repositories/4/top_containers/63768: box 2005 808 ; 
/repositories/4/archival_objects/715215,AC107.03_c37,file,"Reddy, Sanjay",/repositories/4/top_containers/63769: box 2005 810 ; 
/repositories/4/archival_objects/715216,AC107.03_c38,file,"Reich, Robert",/repositories/4/top_containers/63769: box 2005 810 ; 
/repositories/4/archival_objects/715217,AC107.03_c39,file,"Suh, Byung-Hoon",/repositories/4/top_containers/63770: box 2005 812 ; 
/repositories/4/archival_objects/715218,AC107.03_c40,file,"Adichie, Chimamanda",/repositories/4/top_containers/63863: box 2006 815 ; 
/repositories/4/archival_objects/715219,AC107.03_c41,file,"Bidima, Jean-Godefroy",/repositories/4/top_containers/63863: box 2006 815 ; 
/repositories/4/archival_objects/715220,AC107.03_c42,file,"Eaton, Anne",/repositories/4/top_containers/63771: box 2006 817 ; 
/repositories/4/archival_objects/715221,AC107.03_c43,file,"Eyal, Nir",/repositories/4/top_containers/63771: box 2006 817 ; 
/repositories/4/archival_objects/715222,AC107.03_c44,file,"Frazer, Michael",/repositories/4/top_containers/63771: box 2006 817 ; 
/repositories/4/archival_objects/715223,AC107.03_c45,file,"Garces, Christopher",/repositories/4/top_containers/63694: box 2006 818 ; 
/repositories/4/archival_objects/715224,AC107.03_c46,file,"Guyer, Paul",/repositories/4/top_containers/63694: box 2006 818 ; 
/repositories/4/archival_objects/715225,AC107.03_c47,file,"Karpowitz, Christopher",/repositories/4/top_containers/63864: box 2006 819 ; 
/repositories/4/archival_objects/715226,AC107.03_c48,file,"Krebe, Angelika",/repositories/4/top_containers/63982: box 2006 820 ; 
