uri,ref_id,level,title,instances
/repositories/4/resources/2161,,collection,"Faculty and Professional Staff files, Subgroup 7: H",""
/repositories/4/archival_objects/732729,AC107.07_c1,series,Series 43: Hellenic Studies,""
/repositories/4/archival_objects/732732,AC107.07_c2,file,"Abatzopoulou, Fragiski",/repositories/4/top_containers/63569: box 2002 764 ; 
/repositories/4/archival_objects/732733,AC107.07_c3,file,"Ammerman, William Richard",/repositories/4/top_containers/63569: box 2002 764 ; 
/repositories/4/archival_objects/732734,AC107.07_c4,file,"Arabatzis, Georgios",/repositories/4/top_containers/63569: box 2002 764 ; 
/repositories/4/archival_objects/732735,AC107.07_c5,file,"Bordt, Michael K.E.",/repositories/4/top_containers/63569: box 2002 764 ; 
/repositories/4/archival_objects/732736,AC107.07_c6,file,"Chioles, John",/repositories/4/top_containers/63855: box 2002 765 ; 
/repositories/4/archival_objects/732737,AC107.07_c7,file,"Constantine-Theologhides, Peter",/repositories/4/top_containers/63570: box 2002 766 ; 
/repositories/4/archival_objects/732738,AC107.07_c8,file,"Doulis, Thomas",/repositories/4/top_containers/63570: box 2002 766 ; 
/repositories/4/archival_objects/732739,AC107.07_c9,file,"Fokas, Nikolaos",/repositories/4/top_containers/63687: box 2002 767 ; 
/repositories/4/archival_objects/732740,AC107.07_c10,file,"Gara, Eleni",/repositories/4/top_containers/63687: box 2002 767 ; 
/repositories/4/archival_objects/732741,AC107.07_c11,file,"Hess, Franklin L.",/repositories/4/top_containers/63571: box 2002 768 ; 
/repositories/4/archival_objects/732742,AC107.07_c12,file,"Liapis, Vayos",/repositories/4/top_containers/63756: box 2002 769 ; 
/repositories/4/archival_objects/732743,AC107.07_c13,file,"Llewellyn-Smith, Michael J.",/repositories/4/top_containers/63705: box 2002 770 ; 
/repositories/4/archival_objects/732744,AC107.07_c14,file,"Maronitis, Dimitrios N.",/repositories/4/top_containers/63705: box 2002 770 ; 
/repositories/4/archival_objects/732745,AC107.07_c15,file,"Moschovakis, Nicholas Rand",/repositories/4/top_containers/63757: box 2002 771 ; 
/repositories/4/archival_objects/732746,AC107.07_c16,file,"Moutsatsos, Chrisy",/repositories/4/top_containers/63757: box 2002 771 ; 
/repositories/4/archival_objects/732747,AC107.07_c17,file,"Panagiotidou, Maria Afroditi",/repositories/4/top_containers/63757: box 2002 771 ; 
/repositories/4/archival_objects/732748,AC107.07_c18,file,"Panagopoulou, Katerina",/repositories/4/top_containers/63757: box 2002 771 ; 
/repositories/4/archival_objects/732749,AC107.07_c19,file,"Papageorgiou, Stefanos",/repositories/4/top_containers/63757: box 2002 771 ; 
/repositories/4/archival_objects/732750,AC107.07_c20,file,"Papanikola-Bakirtzis, Demetra",/repositories/4/top_containers/63757: box 2002 771 ; 
/repositories/4/archival_objects/732751,AC107.07_c21,file,"Polkas, Lambros S.",/repositories/4/top_containers/63757: box 2002 771 ; 
/repositories/4/archival_objects/732752,AC107.07_c22,file,"Sakellaridou, Elizabeth",/repositories/4/top_containers/63758: box 2002 772 ; 
/repositories/4/archival_objects/732753,AC107.07_c23,file,"Schofield, Gordon A.",/repositories/4/top_containers/63758: box 2002 772 ; 
/repositories/4/archival_objects/732754,AC107.07_c24,file,"Theodosiadou, Georgia A.",/repositories/4/top_containers/63706: box 2002 773 ; 
/repositories/4/archival_objects/732755,AC107.07_c25,file,"Virvidakis, Stylianos",/repositories/4/top_containers/63856: box 2002 774 ; 
/repositories/4/archival_objects/732756,AC107.07_c26,file,"Yalouri, Anastasia-Helen",/repositories/4/top_containers/63856: box 2002 774 ; 
/repositories/4/archival_objects/732757,AC107.07_c27,file,"Ball, Jennifer L.",/repositories/4/top_containers/63688: box 2003 776 ; 
/repositories/4/archival_objects/732758,AC107.07_c28,file,"Bortone, Pietro",/repositories/4/top_containers/63688: box 2003 776 ; 
/repositories/4/archival_objects/732759,AC107.07_c29,file,"Chen, Zhi-qiang",/repositories/4/top_containers/63759: box 2003 777 ; 
/repositories/4/archival_objects/732760,AC107.07_c30,file,"Doimi de Frankopan, Peter",/repositories/4/top_containers/63857: box 2003 778 ; 
/repositories/4/archival_objects/732761,AC107.07_c31,file,"Feissel, Denis F.",/repositories/4/top_containers/63760: box 2003 779 ; 
/repositories/4/archival_objects/732762,AC107.07_c32,file,"Graf, David Frank",/repositories/4/top_containers/63760: box 2003 779 ; 
/repositories/4/archival_objects/732763,AC107.07_c33,file,"Halenko, Oleksander",/repositories/4/top_containers/63760: box 2003 779 ; 
/repositories/4/archival_objects/732764,AC107.07_c34,file,"Kalas, Veronica G.",/repositories/4/top_containers/67044: box 2003 780 ; 
/repositories/4/archival_objects/732765,AC107.07_c35,file,"Kalogeras, Georgios",/repositories/4/top_containers/67044: box 2003 780 ; 
